ID;Сорт;Селекционная линия;Год;Патент;Ссылка на патент;Селекционер;Родители;Высота (см);Ширина листа (см);Форма листа;Окрас;Устойчивость к солнцу;Историческая справка;Особенности;Ссылка на изображение;CaladiumHome;Visibility
125;Heart and Soul;Heart to Heart;2020;PP31567;https://patents.justia.com/patent/PP31567;Robert Dale Hartman;Не указаны;40-60;15-25;Ланцетная;Тёмно-зелёный с красными пятнами, волнистые края;Средняя;Романтичное название за окраску;Компактный рост;./img/Heart and Soul.jpg;0;1
126;Heart to Heart Original;;;;;;;25-30;10-12;Сердцевидная;Розовый мрамор;Полутень;Лицензия на размножение у 12 питомников;Для полного солнца;./img/Heart to Heart Original.jpg;0;0
127;Heart's Delight;Heart to Heart;;;;;;;;;;;;;./img/Heart's Delight.jpg;0;1
128;High Society;Classic Caladiums;;;;;;;;;;;;;./img/High Society.jpg;0;1
129;Hot 2 Trot;Heart to Heart;;;;;;;;;;;;;./img/Hot 2 Trot.jpg;0;1
130;Hot Flash;Heart to Heart;;;;;;;;;;;;;./img/Hot Flash.jpg;0;1
131;Icicle;University of Florida;2018;PP29249;https://patents.justia.com/patent/PP29249;Zhanao Deng;Не указаны;50-70;15-25;Ланцетная;Белый центр, зелёные края;Высокая;Устойчив к фузариозу;Быстрое прорастание;./img/Icicle.jpg;0;1
132;Imperial Ruby;;;;;;;55-60;20-22;Сердцевидная;Рубиново-красный;Полутень;;;./img/Imperial Ruby.jpg;0;0
133;Jade Butterfly;;;;;;;25-30;10-12;Овальная;Нефритово-зелёный;Тень;Выведен для выращивания в горшках в условиях квартир;Листья складываются на ночь;./img/Jade Butterfly.jpg;0;0
134;Jade Emperor;;;;;;;60-65;22-25;Сердцевидная;Тёмно-зелёный с серебристыми узорами;Тень;Старинный китайский сорт, символ императорской власти;Самый крупный из зелёных сортов;./img/Jade Emperor.jpg;0;0
135;Just Saucy;Classic Caladiums;;;;;;;;;;;;;./img/Just Saucy.jpg;0;1
136;Lava Glow;University of Florida;2023;20230422650;https://patents.justia.com/patent/20230422650;Zhanao Deng;Не указаны;60-80;20-30;Сердцевидная;Красный с полупрозрачными участками;Очень высокая;Новый термостойкий сорт;Яркие соцветия;./img/Lava Glow.jpg;1;1
137;Lemon Blush;Heart to Heart;;;;;;;;;;;;;./img/Lemon Blush.jpg;1;1
138;Lemon Splash;;;;;;;25-30;10-12;Сердцевидная;Лимонно-жёлтый с зелёными брызгами;Устойчивый к солнцу;Первый жёлтый сорт в линейке Heart to Heart;Не выгорает;./img/Lemon Splash.jpg;0;0
139;Mango Tango;;;;;;;40-45;14-16;Сердцевидная;Оранжево-жёлтый;Полутень;Назван за тропический окрас;Меняет цвет при разном освещении;./img/Mango Tango.jpg;0;0
140;Mesmerized;Heart to Heart;2018;PP29545;https://patents.justia.com/patent/PP29545;Robert Dale Hartman;Не указаны;60-80;20-30;Фэнси;Пёстрый: зелёный, жёлтый, красный;Средняя;Назван за гипнотическую окраску;Меняет цвет в течение сезона;./img/Mesmerized.jpg;0;1
141;Midnight Oil;;;;;;;55-60;20-22;Сердцевидная;Глубокий фиолетовый с масляным блеском;Полутень;Самый глянцевый сорт 2024;Эффект мокрого асфальта;./img/Midnight Oil.jpg;0;0
142;Midnight Velvet;;;;;;;40-45;12-14;Ланцетная;Тёмно-фиолетовый (почти чёрный);Тень;Коллекционный сорт из Индонезии;Бархатистая текстура листьев;./img/Midnight Velvet.jpg;0;0
143;Mini Muffet;;;;;;;15-20;6-8;Сердцевидная;Розовый;Тень;Улучшенная версия;Карликовый;./img/Mini Muffet.jpg;0;0
144;Mint Julep;;;;;;;25-30;10-12;Сердцевидная;Мятно-зелёный с белыми брызгами;Полутень;Освежающий летний сорт;Аромат мяты;./img/Mint Julep.jpg;0;1
145;Miss Muffet;;;;;;;20-25;8-10;Сердцевидная;Розово-зелёный;Тень;Создан для горшечной культуры;Первый карликовый сорт;./img/Miss Muffet.jpg;1;1
146;Modern Art;;2015;PP25427;https://patents.justia.com/patent/PP25427;Robert Dale Hartman;Не указаны;50-70;15-25;Ланцетная;Кремово-зелёный с красными пятнами;Средняя;Абстрактный рисунок;Художественный вид;./img/Modern Art.jpg;0;0
147;Monument;Classic Caladiums;;;;;;;;;;;;;./img/Monument.jpg;0;1
148;Moon River;;;;;;;50-55;18-20;Сердцевидная;Серебристо-голубой;Тень;Назван в честь песни;Переливчатый оттенок;./img/Moon River.jpg;0;0
149;Moonlight Sonata;;;;;;;50-55;18-20;Сердцевидная;Белый с голубым отливом;Тень;Ночное свечение;Экспериментальный;./img/Moonlight Sonata.jpg;0;0
150;Moonlight Sonnet;;;;;;;50-55;16-18;Сердцевидная;Серебристо-белый;Полутень;Французский сорт с музыкальным названием;Цветёт ночью;./img/Moonlight Sonnet.jpg;0;0
151;Mrs. W.B. Halderman;;;;;;;50-55;18-20;Сердцевидная;Розовый;Тень;Первый флоридский гибрид;Исторический;./img/Mrs. W.B. Halderman.jpg;0;0
152;Mt. Everest;;2008;PP18764;https://patents.justia.com/patent/PP18764;Robert Dale Hartman;Не указаны;60-80;20-30;Ремневидная;Зелёно-белый с красными прожилками;Средняя;Назван за высоту;Крупные листья;./img/Mt. Everest.jpg;0;0
153;Obsidian Night;;;;;;;55-60;20-22;Сердцевидная;Глубокий чёрный;Полутень;Самый тёмный сорт на 2024 год;Глянцевые листья;./img/Obsidian Night.jpg;0;0
154;Party Punch;Classic Caladiums;;;;;;;;;;;;;./img/Party Punch.jpg;0;1
155;Passionista;University of Florida;2016;PP26592;https://patents.justia.com/patent/PP26592;Zhanao Deng, Brent K. Harbaugh;Не указаны;50-70;15-25;Сердцевидная;Розовый с мраморными краями;Средняя;Назван за страстный окрас;Волнистые края;./img/Passionista.jpg;0;0
156;Peach Fuzz;;;;;;;45-50;18-20;Сердцевидная;Персиковый пух;Полутень;Нежный пастельный сорт;Бархатистая текстура;./img/Peach Fuzz.jpg;0;0
157;Pearl Blush;;;;;;;;;;;;;;./img/Pearl Blush.jpg;0;1
158;Peppermint;;2011;PP22214;https://patents.justia.com/patent/PP22214;Robert Dale Hartman;Не указаны;50-70;15-25;Ланцетная;Красно-белый с зелёными краями;Средняя;Мятный оттенок;Свежий вид;./img/Peppermint.jpg;1;1
159;Pink Angel;;;;;;;45-50;18-20;Сердцевидная;Розовый;Полутень;Ангельский;Для подарков;./img/Pink Angel.jpg;0;0
160;Pink Beauty;Classic Caladiums;;;;;;;;;;;;;./img/Pink Beauty.jpg;1;1
161;Pink Blush;;;;;;;30-35;12-14;Сердцевидная;Розовый;Тень;Выведен для срезки;Нежный оттенок;./img/Pink Blush.jpg;0;0
162;Pink Champagne;;;;;;;45-50;18-20;Сердцевидная;Розовый;Полутень;Изысканный;Для ресторанов;./img/Pink Champagne.jpg;0;0
163;Pink Cloud;;;;;;;45-50;18-20;Сердцевидная;Розовый;Полутень;Пушистый вид;Для фото;./img/Pink Cloud.jpg;0;1
164;Pink Dew;;;;;;;45-50;18-20;Сердцевидная;Розовая роса;Полутень;Капельный узор;Утренний вид;./img/Pink Dew.jpg;0;0
165;Pink Diamond;;;;;;;45-50;18-20;Сердцевидная;Розовый;Полутень;Бриллиантовый блеск;Люкс;./img/Pink Diamond.jpg;0;0
166;Pink Fantasy;;;;;;;45-50;18-20;Сердцевидная;Розовый фантазийный;Полутень;Уникальный узор;Коллекционный;./img/Pink Fantasy.jpg;0;0
167;Pink Gem;Classic Caladiums;;;;;;;;;;;;;./img/Pink Gem.jpg;0;1
168;Pink Legend;;;;;;;45-50;18-20;Сердцевидная;Розовый;Полутень;Легендарный;Коллекционный;./img/Pink Legend.jpg;0;0
169;Pink Lemonade;;;;;;;25-30;10-12;Сердцевидная;Розово-жёлтый градиент;Полутень;Летний освежающий сорт;Меняет цвет при росте;./img/Pink Lemonade.jpg;0;0
170;Pink Panther;University of Florida;2021;PP33125;https://patents.justia.com/patent/PP33125;Zhanao Deng;Не указаны;50-70;15-25;Ланцетная;Ярко-розовый с тёмными прожилками;Очень высокая;Устойчив к бактериальному ожогу;Рюшевые края листьев;./img/Pink Panther.jpg;0;0
171;Pink Pearl;;;;;;;45-50;18-20;Сердцевидная;Розовый;Полутень;Жемчужный блеск;Элитный;./img/Pink Pearl.jpg;0;0
172;Pink Serenity;;;;;;;45-50;18-20;Сердцевидная;Нежно-розовый;Полутень;Умиротворяющий;Для спа;./img/Pink Serenity.jpg;0;0
173;Pink Splash;Classic Caladiums;2008;PP23792;https://patents.justia.com/patent/PP23792;Robert Dale Hartman;Обнаружено как отдельное растение в популяции растений 'Elise';45-50;18-20;Сердцевидная;Тёмно-зелёный с красно-пурпурными пятнами;Полутень;Брызги краски;Художественный;./img/Pink Splash.jpg;1;1
174;Pink Strap Symphony;;;;;;;;;;;;;;./img/Pink Strap Symphony.jpg;0;1
175;Pink Sunrise;;;;;;;45-50;18-20;Сердцевидная;Розовый;Полутень;Утренний;Для кафе;./img/Pink Sunrise.jpg;0;0
176;Pink Symphony;;;;;;;40-45;15-17;Сердцевидная;Нежно-розовый;Полутень;Разработан для Home Depot;Горшечный;./img/Pink Symphony.jpg;0;1
177;Pink Whisper;;;;;;;45-50;18-20;Сердцевидная;Нежно-розовый;Полутень;Пастельные тона;Для свадеб;./img/Pink Whisper.jpg;0;0
178;Pixie;;;;;;;15-20;6-8;Сердцевидная;Розовый;Тень;Мини;Для террариумов;./img/Pixie.jpg;0;0
179;Pixie Dust;;;;;;;15-20;6-8;Сердцевидная;Серебристый;Тень;Для мини-садов;Миниатюрный;./img/Pixie Dust.jpg;0;0
180;Plum Crazy;;;;;;;30-35;14-16;Сердцевидная;Пурпурно-розовый;Полутень;Часть коллекции 'Color Craze';Подходит для комнатного выращивания;./img/Plum Crazy.jpg;0;0
181;Posy Pink;-;2017;PP27945;https://patents.justia.com/patent/PP27945;Robert Dale Hartman;Не указаны;50-70;15-25;Фэнси;Розово-красный с зелёными краями;Средняя;Назван за нежность;Букетный эффект;./img/Posy Pink.jpg;0;0
182;Puppy Love;Classic Caladiums;2015;PP25424;https://patents.justia.com/patent/PP25424;Robert Dale Hartman;Не указаны;40-60;12-20;Ланцетная;Розово-красный с зелёными краями;Средняя;Назван за миловидность;Компактный рост;./img/Puppy Love.jpg;0;1
183;Radiance;Heart to Heart;2016;PP27095;https://patents.justia.com/patent/PP27095;Robert Dale Hartman;Не указаны;60-80;20-30;Фэнси;Ярко-розовый с тёмно-розовым центром;Высокая;Назван за сияющую окраску;Контрастные прожилки;./img/Radiance.jpg;0;1
184;Rain or Shine;Heart to Heart;;;;;;;;;;;;;./img/Rain or Shine.jpg;0;1
185;Raspberry Moon;Heart to Heart;;;;;;25-30;10-12;Сердцевидная;Светло-зелёный с красно-розовыми пятнами;Полутень;Эксклюзив для Proven Winners;Яркий. Крупные листья;./img/Raspberry Moon.jpg;1;1
186;Red Alert;Classic Caladiums;2016;PP27096;https://patents.justia.com/patent/PP27096;Robert Dale Hartman;Не указаны;50-70;15-25;Фэнси;Красный центр, тёмно-зелёные края;Очень высокая;Устойчив к яркому солнцу;Яркий сигнальный окрас;./img/Red Alert.jpg;0;1
187;Red Comet;;;;;;;55-60;20-22;Сердцевидная;Алый;Устойчивый к солнцу;Яркие прожилки;Для срезки;./img/Red Comet.jpg;0;0
188;Red Dragon;;;;;;;55-60;20-22;Сердцевидная;Красный;Устойчивый к солнцу;Экзотический;Азиатский стиль;./img/Red Dragon.jpg;0;0
189;Red Emperor;;;;;;;55-60;20-22;Сердцевидная;Красный;Устойчивый к солнцу;Крупные листья до 35 см;Императорская серия;./img/Red Emperor.jpg;0;0
190;Red Flash;;;;;;;55-60;18-20;Сердцевидная;Красный/розовый;Устойчивый к солнцу;Первый коммерческий красный сорт;Гибридизирован в 1958;./img/Red Flash.jpg;1;1
191;Red Frill;Classic Caladiums;;;;;;;;;;;;;./img/Red Frill.jpg;0;1
192;Red Glamour;Classic Caladiums;2015;PP25425;https://patents.justia.com/patent/PP25425;Robert Dale Hartman;Не указаны;50-70;15-25;Ланцетная;Ярко-красный с глянцевым блеском;Высокая;Глянцевые листья;Яркий акцент;./img/Red Glamour.jpg;0;1
193;Red Hot;;;;;;;45-50;16-18;Сердцевидная;Красный;Устойчивый к солнцу;Ярче оригинала на 40%;Яркий;./img/Red Hot.jpg;0;0
194;Red Legend;;;;;;;55-60;20-22;Сердцевидная;Красный;Устойчивый к солнцу;Легендарный;Завершение серии;./img/Red Legend.jpg;0;0
195;Red Lightning;;;;;;;55-60;20-22;Сердцевидная;Красный;Устойчивый к солнцу;Яркий;Молния;./img/Red Lightning.jpg;0;0
196;Red Majesty;;;;;;;55-60;20-22;Сердцевидная;Тёмно-красный;Устойчивый к солнцу;Королевская серия;Бархатные листья;./img/Red Majesty.jpg;0;0
197;Red Meteor;;;;;;;55-60;20-22;Сердцевидная;Красный метеорит;Устойчивый к солнцу;Космический узор;Для садов;./img/Red Meteor.jpg;0;0
198;Red Phoenix;;;;;;;55-60;20-22;Сердцевидная;Красный;Устойчивый к солнцу;Мифический;Элитный;./img/Red Phoenix.jpg;0;0
199;Red Rocket;;;;;;;50-55;18-20;Сердцевидная;Красный;Устойчивый к солнцу;Быстрорастущий;Для живой изгороди;./img/Red Rocket.jpg;0;0
200;Red Ruffles;;;;;;;50-55;15-17;Сердцевидная;Красный;Устойчивый к солнцу;Гофрированные листья;Устойчив к ветру;./img/Red Ruffles.jpg;0;0
201;Red Storm;;;;;;;55-60;20-22;Сердцевидная;Красный;Устойчивый к солнцу;Мощные листья;Для ветреных мест;./img/Red Storm.jpg;0;0
202;Red Thunder;;;;;;;55-60;20-22;Сердцевидная;Красный;Устойчивый к солнцу;Громкое название;Яркий;./img/Red Thunder.jpg;0;0
203;Red Tornado;;;;;;;55-60;20-22;Сердцевидная;Красный вихрь;Устойчивый к солнцу;Спиральный узор;Для ландшафтов;./img/Red Tornado.jpg;0;0
204;Red Vein;;;;;;;30-35;10-12;Сердцевидная;Зелёный с алыми прожилками;Полутень;Используется в традиционной медицине Бали;Сок листьев применяют для окраски тканей;./img/Red Vein.jpg;0;0
205;Red Volcano;;;;;;;55-60;20-22;Сердцевидная;Красный;Устойчивый к солнцу;Глянцевые листья;Эффектный;./img/Red Volcano.jpg;0;0
206;Rhapsody;;;;;;;;;;;;;;./img/Rhapsody.jpg;0;1
207;Ribbon White;;2022;PP34762;https://patents.justia.com/patent/PP34762;Robert Dale Hartman;Не указаны;60-80;5-10;Лентовидная;Бело-зелёный;Высокая;Узколистная форма;Акцентное растение;./img/Ribbon White.jpg;0;0
208;Rio Red;;2013;PP23994;https://patents.justia.com/patent/PP23994;Robert Dale Hartman;Не указаны;40-60;12-20;Ланцетная;Тёмно-красный с пурпурным оттенком;Высокая;Назван в честь реки Рио-Гранде;Чёрные черешки;./img/Rio Red.jpg;0;0
209;Rose Glow;Heart to Heart;2009;PP20070;https://patents.justia.com/patent/PP20070;Robert Dale Hartman;Не указаны;70-90;25-35;Фэнси;Красно-пурпурный с зелёными краями;Средняя;Назван за сияние;Глянцевые листья;./img/Rose Glow.jpg;0;1
210;Rosebud;;;;;;;45-50;18-20;Сердцевидная;Розовый;Тень;Первый розовый гибрид;Прародитель Pink Beauty;./img/Rosebud.jpg;0;1
211;Rosemary;Classic Caladiums;2010;PP20993;https://patents.justia.com/patent/PP20993;Robert Dale Hartman;Не указаны;50-70;15-25;Ремневидная;Розово-красный с зелёными крапинками;Средняя;Ароматные листья;Компактный рост;./img/Rosemary.jpg;0;1
212;Royal Flush;;;;;;;55-60;20-22;Сердцевидная;Пурпурно-красный с белыми прожилками;Полутень;Юбилейный сорт к 70-летию селекционера;Королевская серия;./img/Royal Flush.jpg;0;1
213;Royal Velvet;;;;;;;45-50;15-17;Сердцевидная;Тёмно-бордовый;Полутень;Создан для королевских садов Великобритании;Бархатистая текстура листьев;./img/Royal Velvet.jpg;0;0
214;Sangria;Classic Caladiums;2015;PP26263;https://patents.justia.com/patent/PP26263;Robert Dale Hartman;Не указаны;50-70;15-25;Ланцетная;Розово-красный центр, тёмно-зелёные края;Средняя;Назван за сходство с напитком;Волнистые края листьев;./img/Sangria.jpg;0;1
215;Scarlet Flame;Heart to Heart;2015;PP25419;https://patents.justia.com/patent/PP25419;Robert Dale Hartman;Не указаны;50-70;15-25;Ланцетная;Тёмно-зелёный с розово-красными прожилками;Высокая;Яркие прожилки;Контрастный рисунок;./img/Scarlet Flame.jpg;0;1
216;Schokolade;;2021;PP33615;https://patents.justia.com/patent/PP33615;Robert Dale Hartman;Не указаны;60-80;20-30;Фэнси;Шоколадно-коричневый;Средняя;Редкий коричневый окрас;Экзотический вид;./img/Schokolade.jpg;0;0
217;Seafoam Pink;;;;;;;;;;;;;;./img/Seafoam Pink.jpg;1;1
218;Seagull;;;;;;;50-55;18-20;Сердцевидная;Белый;Тень;Утерян в 1950-х, восстановлен в 2001;Родитель White Christmas;./img/Seagull.jpg;0;0
219;Shadowland;;;;;;;30-35;12-15;Сердцевидная;Тёмно-зелёный с серебристыми пятнами;Тень;Часть коллекции для тенистых садов;Устойчив к слизням;./img/Shadowland.jpg;0;0
220;Silver Cloud;;;;;;;45-50;16-18;Сердцевидная;Серебристый;Полутень;Облачный узор;Декоративный;./img/Silver Cloud.jpg;0;0
221;Silver Pagoda;;;;;;;50-55;15-18;Сердцевидная;Серебристый с зелёным краем;Тень;Назван за сходство с крышами буддийских храмов;Листья отражают свет;./img/Silver Pagoda.jpg;0;0
222;Silver Shadow;;;;;;;40-45;15-17;Сердцевидная;Серебристый с тёмными прожилками;Полутень;Сияющий эффект;Для лунных садов;./img/Silver Shadow.jpg;0;0
223;Sizzle;;;;;;;;;;;;;;./img/Sizzle.jpg;1;1
224;Snow Drift;Heart to Heart;2016;PP27072;https://patents.justia.com/patent/PP27072;Robert Dale Hartman;Не указаны;60-80;20-30;Фэнси;Белоснежный с зелёными прожилками;Высокая;Зимостойкий сорт;Густая листва;./img/Snow Drift.jpg;0;1
225;Snow Flurry;;;;;;;;;Сердцевидная;Белый на зеленом фоне, белые прожилки;;;;./img/Snow Flurry.jpg;1;1
226;Snow Queen;;;;;;;45-50;17-19;Сердцевидная;Белый с зелёным краем;Тень;Бельгийский сорт, утерянный в WWII, восстановлен в 2000-х;Редкий коллекционный;./img/Snow Queen.jpg;0;0
227;Snow White Park;;2012;PP22706;https://patents.justia.com/patent/PP22706;Soon Kyo Park;Не указаны;30-50;10-15;Сердцевидная;Белоснежный с зелёными прожилками;Низкая;Комнатный сорт;Миниатюрный;./img/Snow White Park.jpg;0;0
228;Solar Flare;;;;;;;25-30;10-12;Сердцевидная;Оранжевый;Устойчивый к солнцу;Для Техаса и Аризоны;Термоустойчивый;./img/Solar Flare.jpg;0;0
229;Solaris;;;;;;;50-60;20-25;Сердцевидная;Жёлто-оранжевый;Прямое солнце;Первый ГМО-каладиум с повышенным фотосинтезом;Вырабатывает каротиноиды для защиты от УФ;./img/Solaris.jpg;0;0
230;Southern Charm;Classic Caladiums;2017;PP27942;https://patents.justia.com/patent/PP27942;Robert Dale Hartman;Не указаны;40-60;15-22;Фэнси;Серо-зелёный с красными прожилками;Средняя;Назван за изящный вид;Компактный габитус;./img/Southern Charm.jpg;0;1
231;Splash Of Wine;Heart to Heart;2011;USPP31599P2;https://patents.google.com/patent/USPP31599P2;Robert Dale Hartman;Gingerland (не запатентован) × Candidum (не запатентован);23 - 30;30-36;Сердцевидная;Бело-розовый, зелёными основными прожилками с клюквенно-красными пятнами;Тень;Каладиум Splash of Wine – новинка 2019 года от генерального директора Classic, доктора Роберта Хартмана;Splash of Wine – это каладиум с декоративными листьями, бело-розовым фоном и зелёными основными прожилками с клюквенно-красными пятнами. Подходит для тенистых мест. Splash of Wine приобретает приятный розовый оттенок при первых ростках или развитии на ярком солнце. Сравнительно невысокое, компактное и куртинистое растение;./img/Splash Of Wine.jpg;1;1
232;Spring Fling;;;;;;;;;;;;;;./img/Spring Fling.jpg;1;1
233;Starburst;Classic Caladiums;2009;PP20091;https://patents.justia.com/patent/PP20091;Robert Dale Hartman;Не указаны;40-60;12-20;Ремневидная;Красно-пурпурный с зелёными краями;Средняя;Звёздчатый рисунок;Яркие акценты;./img/Starburst.jpg;0;1
234;Starburst Fancy;;;;;;;45-50;16-18;Сердцевидная;Красно-белый крап;Полутень;Декоративный;Для контейнеров;./img/Starburst Fancy.jpg;0;0
235;Strawberry Fields;;;;;;;45-50;18-20;Сердцевидная;Клубнично-красный с зелёными точками;Полутень;Назван в честь песни The Beatles;Ягодный аромат;./img/Strawberry Fields.jpg;0;0
236;Strawberry Star;;;;;;;;;;;;;;./img/Strawberry Star.jpg;1;1
237;Summer Breeze;Classic Caladiums;2015;PP25420;https://patents.justia.com/patent/PP25420;Robert Dale Hartman;Florida Sweetheart ? неизв.;45-50;16-18;Сердцевидная;Кремово-белый с розовым румянцем;Устойчивый к солнцу;Новинка линейки Classic Caladiums;Не выгорает на солнце. Нежные переливы цвета;./img/Summer Breeze.jpg;0;1
238;Summer Rose;University of Florida;2009;PP20446;https://patents.justia.com/patent/PP20446;Zhanao Deng, Brent Harbaugh;Не указаны;70-90;30-40;Сердцевидная;Ярко-розовый;Высокая;Один из самых крупных розовых сортов;Подходит для ландшафтов;./img/Summer Rose.jpg;0;0
239;Sunset Pink;Classic Caladiums;;;;;;;;;;;;;./img/Sunset Pink.jpg;0;1
240;Sweet Carolina;;2013;PP23816;https://patents.justia.com/patent/PP23816;Robert Dale Hartman;Не указаны;80-100;30-40;Фэнси;Пурпурно-красный с зелёными пятнами;Средняя;Назван в честь региона;Крупные листья;./img/Sweet Carolina.jpg;0;0
241;Tapestry;;;;;;;;;;;;;;./img/Tapestry.jpg;1;1
242;Tenderness;;2013;PP23814;https://patents.justia.com/patent/PP23814;Robert Dale Hartman;Не указаны;40-60;12-20;Ланцетная;Светло-зелёный с розовым оттенком;Средняя;Назван за нежную окраску;Мягкая текстура листьев;./img/Tenderness.jpg;0;0
243;Tequila Sunrise;;;;;;;;;;;;;;./img/Tequila Sunrise.jpg;0;1
244;Thai Beauty;;;;;;;35-40;5-7;Ланцетная;Зелёный/белый;Тень;Импортирован из Таиланда в 1998;Коллекционный;./img/Thai Beauty.jpg;1;1
245;Thai Calypso;;;;;;;55-60;12-14;Ланцетная;Пёстрый;Тень;Коллекционный;Редкий;./img/Thai Calypso.jpg;0;0
246;Thai Constellation;;;;;;;60-65;10-12;Ланцетная;Белый крап;Тень;Редкий коллекционный;Дорогой;./img/Thai Constellation.jpg;0;0
247;Thai Diamond;;;;;;;50-55;10-12;Ланцетная;Белый;Тень;Коллекционный;Глянцевые листья;./img/Thai Diamond.jpg;0;0
248;Thai Emerald;;;;;;;55-60;12-14;Ланцетная;Зелёный;Тень;Коллекционный;Редкий;./img/Thai Emerald.jpg;0;0
249;Thai Fireball;;;;;;;55-60;12-14;Ланцетная;Красный с оранжевыми вспышками;Тень;Выведен для фестивалей в Таиланде;Яркий как пламя;./img/Thai Fireball.jpg;0;0
250;Thai Gold;;;;;;;55-60;12-14;Ланцетная;Золотистый;Тень;Коллекционный;Инвестиционный;./img/Thai Gold.jpg;0;0
251;Thai Midnight;;;;;;;55-60;12-14;Ланцетная;Тёмно-фиолетовый;Тень;Коллекционный;Редкий;./img/Thai Midnight.jpg;0;0
252;Thai Moonlight;;;;;;;50-55;12-14;Ланцетная;Серебристо-голубой;Тень;Светится в лунном свете;Ночное свечение;./img/Thai Moonlight.jpg;0;0
253;Thai Mystic;;;;;;;55-60;12-14;Ланцетная;Фиолетово-зелёный;Тень;Мистический;Коллекционный;./img/Thai Mystic.jpg;0;0
254;Thai Opal;;;;;;;55-60;12-14;Ланцетная;Переливчатый;Тень;Коллекционный;Дорогой;./img/Thai Opal.jpg;0;0
255;Thai Pearl;;;;;;;50-55;10-12;Ланцетная;Белый;Тень;Редкий;Коллекционный;./img/Thai Pearl.jpg;0;0
256;Thai Rainbow;;;;;;;55-60;12-14;Ланцетная;Радужный;Тень;Перелив цвета;Коллекционный;./img/Thai Rainbow.jpg;0;0
257;Thai RD OF14-1145;;2023;PP35547;https://patents.justia.com/patent/PP35547;Robert Dale Hartman;Не указаны;60-80;20-30;Ланцетная;Тёмно-красный с металлическим блеском;Очень высокая;Тайская селекция;Экзотический вид;./img/Thai RD OF14-1145.jpg;0;0
258;Thai Ruby;;;;;;;50-55;10-12;Ланцетная;Красный;Тень;Редкий;Коллекционный;./img/Thai Ruby.jpg;0;0
259;Thai Sapphire;;;;;;;55-60;12-14;Ланцетная;Сине-зелёный;Тень;Редкость;Коллекционный;./img/Thai Sapphire.jpg;0;0
260;Thai Silver;;;;;;;50-55;10-12;Ланцетная;Серебристый;Тень;Металлический блеск;Коллекционный;./img/Thai Silver.jpg;0;0
261;Thai Sunset;;;;;;;55-60;12-14;Ланцетная;Оранжево-розовый;Тень;Закатные тона;Коллекционный;./img/Thai Sunset.jpg;0;0
262;Thai Topaz;;;;;;;50-55;10-12;Ланцетная;Жёлтый;Тень;Редкий;Коллекционный;./img/Thai Topaz.jpg;0;0
263;Tickle Me Pink;Heart to Heart;2019;PP31061;https://patents.justia.com/patent/PP31061;Robert Dale Hartman;Не указаны;50-70;15-25;Ланцетная;Розово-зелёный мозаичный;Высокая;Устойчив к ветру;Игривая окраска;./img/Tickle Me Pink.jpg;0;1
264;Tiger Eye;;;;;;;35-40;10-12;Ланцетная;Жёлто-зелёные полосы;Полутень;Дикорастущий вид из Вьетнама, одомашнен в 2000-х;Узор напоминает тигриную шкуру;./img/Tiger Eye.jpg;0;0
265;Tiki Torch;Classic Caladiums;2015;PP26264;https://patents.justia.com/patent/PP26264;Robert Dale Hartman;Не указаны;50-70;15-25;Ланцетная;Красно-розовый с лаймовыми краями;Высокая;Назван за сходство с факелом;Яркие контрасты;./img/Tiki Torch.jpg;0;1
266;Tiny Dancer;;;;;;;15-20;6-8;Сердцевидная;Розово-белый с зелёным краем;Тень;Миниатюрный сорт для балконов;"Листья танцуют"" на ветру""";./img/Tiny Dancer.jpg;0;0
267;Tiny Gem;;;;;;;15-20;6-8;Сердцевидная;Розовый;Тень;Мини;Для подарков;./img/Tiny Gem.jpg;0;0
268;Tiny Heart;;;;;;;15-20;6-8;Сердцевидная;Розовый;Тень;Мини;Валентинки;./img/Tiny Heart.jpg;0;0
269;Tiny Jewel;;;;;;;15-20;6-8;Сердцевидная;Розово-серебристый;Тень;Миниатюрный;Для подарков;./img/Tiny Jewel.jpg;0;0
270;Tiny Love;;;;;;;15-20;6-8;Сердцевидная;Розовый;Тень;Мини;Валентинки;./img/Tiny Love.jpg;0;0
271;Tiny Miracle;;;;;;;15-20;6-8;Сердцевидная;Розово-белый;Тень;Миниатюрный;Чудо-сорт;./img/Tiny Miracle.jpg;0;0
272;Tiny Pixie;;;;;;;15-20;6-8;Сердцевидная;Розово-серебристый;Тень;Самый маленький сорт Brown;Для сказочных садов;./img/Tiny Pixie.jpg;0;0
273;Tiny Rainbow;;;;;;;15-20;6-8;Сердцевидная;Разноцветный;Тень;Миниатюрный;Для детских;./img/Tiny Rainbow.jpg;0;0
274;Tiny Spark;;;;;;;15-20;6-8;Сердцевидная;Розово-зелёный;Тень;Миниатюрный;Для террариумов;./img/Tiny Spark.jpg;0;0
275;Tiny Sprite;;;;;;;15-20;6-8;Сердцевидная;Зелёный с серебристыми брызгами;Тень;Лесной дух;Для террариумов;./img/Tiny Sprite.jpg;0;0
276;Tiny Star;;;;;;;15-20;6-8;Сердцевидная;Зелёный;Тень;Мини;Звездчатый узор;./img/Tiny Star.jpg;0;0
277;Tiny Tears;;;;;;;15-20;6-8;Сердцевидная;Зелёный;Тень;Каплевидные листья;Миниатюрный;./img/Tiny Tears.jpg;0;0
